what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1264995350054
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1264995350055
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1264995350058
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1264995350058
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1264995350058
os,sysinfo,,,"win32",1264995350060
arch,sysinfo,,,"x86",1264995350060
ws,sysinfo,,,"win32",1264995350060
locale,sysinfo,,,"en_US",1264995350060
processors,sysinfo,,,"2",1264995350060
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1264995350061
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1264995350061
java.specification.name,sysinfo,,,"Java Platform API Specification",1264995350061
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264995350061
java.specification.version,sysinfo,,,"1.6",1264995350061
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264995350061
java.version,sysinfo,,,"1.6.0_17",1264995350061
java.vm.info,sysinfo,,,"mixed mode",1264995350061
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264995350061
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264995350061
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264995350061
java.vm.specification.version,sysinfo,,,"1.0",1264995350061
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264995350061
java.vm.version,sysinfo,,,"14.3-b01",1264995350061
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1264995356755
